FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2010/2011,Vancouver Island,Victoria General Hospital,Other Orthopaedic Surgery,139,163,9.7,32.8
2010/2011,Vancouver Island,Victoria General Hospital,Other Urology Surgery,22,94,4.1,8.3
2010/2011,Vancouver Island,Victoria General Hospital,Parotidectomy,,10,11.9,28
2010/2011,Vancouver Island,Victoria General Hospital,Prostate Surgery,69,639,3.9,9.7
2010/2011,Vancouver Island,Victoria General Hospital,Rectal Surgery,112,130,6,48
2010/2011,Vancouver Island,Victoria General Hospital,Shoulder Surgery,70,90,8.3,22
2010/2011,Vancouver Island,Victoria General Hospital,Sinus Surgery,33,70,18.2,33.1
2010/2011,Vancouver Island,Victoria General Hospital,Skin Tumour Removal,6,22,2,14.4
2010/2011,Vancouver Island,Victoria General Hospital,Sphincterotomy,16,18,2.1,10.2
2010/2011,Vancouver Island,Victoria General Hospital,Spinal/Back Surgery,179,469,6.9,48.3
2010/2011,Vancouver Island,Victoria General Hospital,Tendon Surgery,18,13,9.4,29.4
2010/2011,Vancouver Island,Victoria General Hospital,Thyroidectomy,,54,5.9,20.2
2010/2011,Vancouver Island,Victoria General Hospital,Tonsillectomy/Adenoidectomy,30,79,12.9,23.1
2010/2011,Vancouver Island,Victoria General Hospital,Tympanoplasty,11,30,20.6,27
2010/2011,Vancouver Island,Victoria General Hospital,Uterine Surgery,234,797,6.1,19.9
2010/2011,Vancouver Island,Victoria General Hospital,Vaginal Repair,60,122,15.9,30.5
2010/2011,Vancouver Island,Victoria General Hospital,Varicose Veins Ligation/Stripping,184,35,34.4,241.5
2010/2011,Vancouver Island,Victoria General Hospital,Vascular Surgery - Other,,22,2.5,8.8
2010/2011,Vancouver Island,Victoria General Hospital,Wound/Laceration Care,46,53,5.6,37.6
2010/2011,Vancouver Island,West Coast General Hospital,Abdominoplasty,8,,55.9,56
2010/2011,Vancouver Island,West Coast General Hospital,All Other Procedures,24,134,5,16
2010/2011,Vancouver Island,West Coast General Hospital,All Procedures,271,963,6,22.8
2010/2011,Vancouver Island,West Coast General Hospital,Biopsy in OR,13,101,6.7,12.3
2010/2011,Vancouver Island,West Coast General Hospital,Bladder Surgery,44,41,7.7,50
2010/2011,Vancouver Island,West Coast General Hospital,Bowel Resection,5,31,1.7,9.4
2010/2011,Vancouver Island,West Coast General Hospital,Cholecystectomy,6,68,5.1,16.6
2010/2011,Vancouver Island,West Coast General Hospital,Colostomy/Ileostomy,,,5.4,8.4
2010/2011,Vancouver Island,West Coast General Hospital,Cyst/Ganglion Removal,,,11.9,15.7
2010/2011,Vancouver Island,West Coast General Hospital,D&C and Related Surgery,9,54,3.3,9
2010/2011,Vancouver Island,West Coast General Hospital,Fallopian Tube/Ovarian Surgery,,6,6.4,9.9
2010/2011,Vancouver Island,West Coast General Hospital,Hand/Wrist Surgery,13,30,15,33.7
2010/2011,Vancouver Island,West Coast General Hospital,Hernia Repair - Abdominal,24,129,6.4,23.1
2010/2011,Vancouver Island,West Coast General Hospital,Kidney/Bladder Stone Removal,,15,6.1,9.2
2010/2011,Vancouver Island,West Coast General Hospital,Laparoscopy,10,13,5.3,9.3
2010/2011,Vancouver Island,West Coast General Hospital,Male Reproductive Surgery,,5,9.4,20.5
2010/2011,Vancouver Island,West Coast General Hospital,Nerve Surgery,8,26,3.7,22.8
2010/2011,Vancouver Island,West Coast General Hospital,Other Orthopaedic Surgery,,,2.1,3.2
2010/2011,Vancouver Island,West Coast General Hospital,Other Urology Surgery,16,32,5.6,16.9
2010/2011,Vancouver Island,West Coast General Hospital,Prostate Surgery,38,91,8.9,36.3
2010/2011,Vancouver Island,West Coast General Hospital,Rectal Surgery,6,15,3.4,14.1
2010/2011,Vancouver Island,West Coast General Hospital,Skin Tumour Removal,7,9,23,39.5
2010/2011,Vancouver Island,West Coast General Hospital,Tendon Surgery,,,14.6,14.6
2010/2011,Vancouver Island,West Coast General Hospital,Thyroidectomy,,5,14,15.4
2010/2011,Vancouver Island,West Coast General Hospital,Uterine Surgery,8,50,6.6,11.4
2010/2011,Vancouver Island,West Coast General Hospital,Vaginal Repair,8,42,8.6,16.5
2010/2011,Vancouver Island,West Coast General Hospital,Varicose Veins Ligation/Stripping,,,28.9,47.9
2011/2012,All Health Authorities,All Facilities,Abdominoplasty,74,109,7.3,57.3
2011/2012,All Health Authorities,All Facilities,All Other Procedures,7648,28255,4,17.1
2011/2012,All Health Authorities,All Facilities,All Procedures,72526,221052,5.6,26.1
2011/2012,All Health Authorities,All Facilities,Aortic Aneurysm Repair,55,328,3.9,14.9
2011/2012,All Health Authorities,All Facilities,Bariatric Surgery,370,179,18.4,200.3
2011/2012,All Health Authorities,All Facilities,Biopsy in OR,682,2879,3.4,20.7
2011/2012,All Health Authorities,All Facilities,Bladder Surgery,1511,5497,4.3,22.4
2011/2012,All Health Authorities,All Facilities,Bowel Resection,448,2845,2.9,10.7
2011/2012,All Health Authorities,All Facilities,Breast Biopsy,249,2085,2.4,6
2011/2012,All Health Authorities,All Facilities,Breast Reconstruction,655,1034,4.7,25.8
2011/2012,All Health Authorities,All Facilities,Breast Reduction,1320,2013,11,42.7
2011/2012,All Health Authorities,All Facilities,Cataract Surgery,11362,50906,7,25
2011/2012,All Health Authorities,All Facilities,Cholecystectomy,1716,5862,5,21.6
2011/2012,All Health Authorities,All Facilities,Colostomy/Ileostomy,212,574,6.6,26.3
2011/2012,All Health Authorities,All Facilities,Cone Biopsy,60,541,3.6,10.3
2011/2012,All Health Authorities,All Facilities,Cranial Surgery,92,773,1.1,8
2011/2012,All Health Authorities,All Facilities,Cyst/Ganglion Removal,277,707,5.1,23.3
2011/2012,All Health Authorities,All Facilities,D&C and Related Surgery,626,2795,3.9,14.3
2011/2012,All Health Authorities,All Facilities,Dental Surgery,1218,2456,7.7,37.2
2011/2012,All Health Authorities,All Facilities,Endarterectomy,136,692,3,12.8
2011/2012,All Health Authorities,All Facilities,Esophagectomy,8,103,2.1,6.1
2011/2012,All Health Authorities,All Facilities,Examination Under Anaesthetic,139,430,3,17.1
2011/2012,All Health Authorities,All Facilities,Excision Gynecomastia,94,191,7,37.9
2011/2012,All Health Authorities,All Facilities,Facial Bone Reconstruction,252,653,5,43.4
2011/2012,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,916,2782,6,21
2011/2012,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,51,142,5,19.8
2011/2012,All Health Authorities,All Facilities,Foot/Ankle Surgery,356,568,10.9,36.4
2011/2012,All Health Authorities,All Facilities,Fracture Repair,229,1213,0.6,13.1
2011/2012,All Health Authorities,All Facilities,Free Flap Graft,31,146,2.7,10.9
2011/2012,All Health Authorities,All Facilities,Hand/Wrist Surgery,755,1944,6.6,28
2011/2012,All Health Authorities,All Facilities,Hernia Repair - Abdominal,3978,10964,7.1,29.7
2011/2012,All Health Authorities,All Facilities,Hernia Repair - Hiatal,173,157,17.1,48.3
2011/2012,All Health Authorities,All Facilities,Hip Replacement,2227,4855,14.7,31.4
2011/2012,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,246,1459,3.3,11
2011/2012,All Health Authorities,All Facilities,Knee - ACL Repair,895,1855,9,31.8
2011/2012,All Health Authorities,All Facilities,Knee - Meniscectomy,,16,3.8,57.2
2011/2012,All Health Authorities,All Facilities,Knee Arthroscopy,3601,8953,7.6,29
2011/2012,All Health Authorities,All Facilities,Knee Replacement,4121,7011,17.6,36.9
2011/2012,All Health Authorities,All Facilities,Laparoscopy,458,1861,4.9,18
2011/2012,All Health Authorities,All Facilities,Laparotomy,83,410,3.1,12
2011/2012,All Health Authorities,All Facilities,Laryngoscopy,131,639,3.3,17.6
2011/2012,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,583,2974,3,17
2011/2012,All Health Authorities,All Facilities,Ligament Surgery,88,171,9.4,37.9
2011/2012,All Health Authorities,All Facilities,Lipectomy,41,108,5.8,21.1
2011/2012,All Health Authorities,All Facilities,Lung Surgery,39,346,2.4,5.3
2011/2012,All Health Authorities,All Facilities,Male Reproductive Surgery,294,797,6.3,26.1
2011/2012,All Health Authorities,All Facilities,Mastectomy,373,4145,2,5.6
2011/2012,All Health Authorities,All Facilities,Mastoidectomy,133,250,11.9,42.2
2011/2012,All Health Authorities,All Facilities,Nasal Surgery,2302,2886,13.7,45
2011/2012,All Health Authorities,All Facilities,Nerve Surgery,381,845,7,28.1
2011/2012,All Health Authorities,All Facilities,Other Eye Surgery,869,2944,5,30.1
2011/2012,All Health Authorities,All Facilities,Other Joint Reconstruction,785,1281,8.4,35.4
2011/2012,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2472,5464,6.4,30.6
2011/2012,All Health Authorities,All Facilities,Other Urology Surgery,473,2610,3.7,12.7
2011/2012,All Health Authorities,All Facilities,Parotidectomy,137,362,8,31.2
2011/2012,All Health Authorities,All Facilities,Prostate Surgery,1251,5367,5,17.7
2011/2012,All Health Authorities,All Facilities,Rectal Surgery,905,1726,7.1,33.9
2011/2012,All Health Authorities,All Facilities,Rib Resection,32,72,18.2,39.5
2011/2012,All Health Authorities,All Facilities,Scope of Chest,49,528,1.7,4.9
2011/2012,All Health Authorities,All Facilities,Shoulder Surgery,2350,3352,11.1,42.1
2011/2012,All Health Authorities,All Facilities,Shunt Insertion/Removal,9,49,3.9,14
2011/2012,All Health Authorities,All Facilities,Sinus Surgery,1586,1810,17.7,71
2011/2012,All Health Authorities,All Facilities,Skin Surgery,124,424,2.7,19.5
2011/2012,All Health Authorities,All Facilities,Skin Tumour Removal,737,2528,3.4,17.1
2011/2012,All Health Authorities,All Facilities,Sphincterotomy,129,193,5.6,22.2
2011/2012,All Health Authorities,All Facilities,Spinal/Back Surgery,1431,3364,5.3,31.2
2011/2012,All Health Authorities,All Facilities,Tendon Surgery,250,697,3,25.9
2011/2012,All Health Authorities,All Facilities,Thoracotomy,16,138,3,5.4
2011/2012,All Health Authorities,All Facilities,Thyroidectomy,328,1328,5.7,24.1
2011/2012,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,681,1233,10,33.5
2011/2012,All Health Authorities,All Facilities,Tympanoplasty,319,450,17.5,47.6
2011/2012,All Health Authorities,All Facilities,Uterine Surgery,2423,10020,4.7,20.4
2011/2012,All Health Authorities,All Facilities,Vaginal Repair,680,1233,9.1,33.7
2011/2012,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1858,1228,10.8,75.1
2011/2012,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,202,650,3.1,16
2011/2012,All Health Authorities,All Facilities,Vascular Surgery - Other,367,1540,2.3,12.7
2011/2012,All Health Authorities,All Facilities,Wound/Laceration Care,371,1057,3.1,19.8
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Abdominoplasty,8,7,2.9,78.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Other Procedures,155,500,7.4,26
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Procedures,1682,5398,7.7,35.2
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Aortic Aneurysm Repair,12,57,4.9,15.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Biopsy in OR,6,92,2.1,5.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bladder Surgery,59,213,7,39.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Bowel Resection,,86,2.6,6.6
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Biopsy,19,149,2.9,7.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reconstruction,19,56,5.4,53.4
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Breast Reduction,117,207,20.7,60.4
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Cholecystectomy,70,304,5.9,23.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Colostomy/Ileostomy,,11,7.1,20.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,D&C and Related Surgery,25,62,9.7,18.8
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Dental Surgery,27,198,4.1,9.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Endarterectomy,8,82,2.1,8.3
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Examination Under Anaesthetic,10,21,5.1,22.6
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Excision Gynecomastia,7,23,8.9,40.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fallopian Tube/Ovarian Surgery,19,140,7.1,28.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fistula Repair - Non Vascular,,9,12.1,26.3
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Foot/Ankle Surgery,5,18,18.2,38.2
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Fracture Repair,,23,1,4.3
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hand/Wrist Surgery,22,42,9.4,51.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hernia Repair - Abdominal,81,388,9.4,27.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hernia Repair - Hiatal,,,11,15.3
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Hip Replacement,36,101,17,41.4
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Kidney/Bladder Stone Removal,,10,10.1,17.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee - ACL Repair,19,52,14.4,33.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Arthroscopy,82,291,14.6,28
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Knee Replacement,118,232,24.6,48.2
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparoscopy,21,74,11,25.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laparotomy,,7,3.6,21.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Laryngoscopy,,15,2.7,5.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Ligament Surgery,,,17.6,20.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Male Reproductive Surgery,11,27,32,64.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Mastectomy,7,50,3,13.3
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Nasal Surgery,43,62,20.9,42
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Eye Surgery,9,22,48.5,69
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Joint Reconstruction,8,16,15.2,31
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Orthopaedic Surgery,57,170,7.7,27
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Other Urology Surgery,37,106,7.8,34.3
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Parotidectomy,,7,3.6,8.5
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Prostate Surgery,71,214,16.5,36.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Rectal Surgery,24,26,16.1,44.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Shoulder Surgery,57,91,19.4,43.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sinus Surgery,23,38,19.9,33
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Surgery,11,24,3.5,54.8
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Skin Tumour Removal,34,116,7,39
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Sphincterotomy,7,9,2,35.6
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tendon Surgery,,25,0.9,4.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Thyroidectomy,8,62,4.1,9.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tonsillectomy/Adenoidectomy,30,25,11.6,44.9
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Tympanoplasty,,5,9.1,32.7
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Uterine Surgery,120,420,9.8,34.6
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vaginal Repair,35,56,33.1,46
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Varicose Veins Ligation/Stripping,83,164,4.1,32.8
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Bypass Graft - Non Cardiac,6,48,3.6,11.8
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Vascular Surgery - Other,13,100,2.7,7.1
2011/2012,Fraser,Abbotsford Regional Hospital and Cancer Centre,Wound/Laceration Care,14,31,1.7,23
2011/2012,Fraser,All Facilities,Abdominoplasty,19,24,3.8,55.2
2011/2012,Fraser,All Facilities,All Other Procedures,1740,6240,4,18.3
2011/2012,Fraser,All Facilities,All Procedures,21312,60990,6.4,30.4
2011/2012,Fraser,All Facilities,Aortic Aneurysm Repair,23,130,4,18.9
2011/2012,Fraser,All Facilities,Bariatric Surgery,5,19,3,16.9
2011/2012,Fraser,All Facilities,Biopsy in OR,42,322,2,6.4
2011/2012,Fraser,All Facilities,Bladder Surgery,484,1616,4.3,24.9
2011/2012,Fraser,All Facilities,Bowel Resection,110,695,3,9.9
2011/2012,Fraser,All Facilities,Breast Biopsy,102,759,2.6,6.6
2011/2012,Fraser,All Facilities,Breast Reconstruction,102,289,6.1,29
2011/2012,Fraser,All Facilities,Breast Reduction,429,695,13.9,49.1
2011/2012,Fraser,All Facilities,Cataract Surgery,4954,16395,11.9,36.1
2011/2012,Fraser,All Facilities,Cholecystectomy,634,2204,4.9,19.1
2011/2012,Fraser,All Facilities,Colostomy/Ileostomy,40,125,6.7,23.7
2011/2012,Fraser,All Facilities,Cone Biopsy,24,182,3.4,7.7
2011/2012,Fraser,All Facilities,Cranial Surgery,14,195,0.7,3.5
2011/2012,Fraser,All Facilities,D&C and Related Surgery,260,1095,3.3,14.3
2011/2012,Fraser,All Facilities,Dental Surgery,317,727,5.6,31.9
2011/2012,Fraser,All Facilities,Endarterectomy,25,189,3,12.7
2011/2012,Fraser,All Facilities,Esophagectomy,6,36,2.7,8.1
2011/2012,Fraser,All Facilities,Examination Under Anaesthetic,56,183,2.7,16
2011/2012,Fraser,All Facilities,Excision Gynecomastia,41,108,6.9,37.9
2011/2012,Fraser,All Facilities,Facial Bone Reconstruction,57,169,5,20.5
2011/2012,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,289,703,6.6,25
2011/2012,Fraser,All Facilities,Fistula Repair - Non Vascular,28,91,5,21.1
2011/2012,Fraser,All Facilities,Foot/Ankle Surgery,99,124,10,41.1
2011/2012,Fraser,All Facilities,Fracture Repair,70,640,0.3,3.6
2011/2012,Fraser,All Facilities,Free Flap Graft,,15,1,8.8
2011/2012,Fraser,All Facilities,Hand/Wrist Surgery,242,549,8.6,34.3
2011/2012,Fraser,All Facilities,Hernia Repair - Abdominal,1170,3374,7.6,26.9
2011/2012,Fraser,All Facilities,Hernia Repair - Hiatal,87,47,10.7,44.9
2011/2012,Fraser,All Facilities,Hip Replacement,287,764,11.6,31.6
2011/2012,Fraser,All Facilities,Kidney/Bladder Stone Removal,65,294,3.1,9.3
2011/2012,Fraser,All Facilities,Knee - ACL Repair,263,561,11,34
2011/2012,Fraser,All Facilities,Knee - Meniscectomy,,15,3,58.2
2011/2012,Fraser,All Facilities,Knee Arthroscopy,1041,2619,6,28
2011/2012,Fraser,All Facilities,Knee Replacement,917,1560,16,41
2011/2012,Fraser,All Facilities,Laparoscopy,144,481,4.3,21.1
2011/2012,Fraser,All Facilities,Laparotomy,27,171,3.1,12
2011/2012,Fraser,All Facilities,Laryngoscopy,44,157,3.9,24.1
2011/2012,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,296,1320,4,18.9
2011/2012,Fraser,All Facilities,Ligament Surgery,47,97,10,26.9
2011/2012,Fraser,All Facilities,Lipectomy,,,7.3,13
2011/2012,Fraser,All Facilities,Lung Surgery,12,89,3.3,8.3
2011/2012,Fraser,All Facilities,Male Reproductive Surgery,43,146,5.7,32.4
2011/2012,Fraser,All Facilities,Mastectomy,81,821,2.1,7
2011/2012,Fraser,All Facilities,Mastoidectomy,41,38,14.5,52.7
2011/2012,Fraser,All Facilities,Nasal Surgery,992,928,18.9,44
2011/2012,Fraser,All Facilities,Nerve Surgery,27,114,4.6,23.7
2011/2012,Fraser,All Facilities,Other Eye Surgery,222,496,7.3,29.3
2011/2012,Fraser,All Facilities,Other Joint Reconstruction,104,134,8.1,30.1
2011/2012,Fraser,All Facilities,Other Orthopaedic Surgery,518,1162,6,29.1
2011/2012,Fraser,All Facilities,Other Urology Surgery,164,648,4.1,18
2011/2012,Fraser,All Facilities,Parotidectomy,33,87,5.7,22.7
2011/2012,Fraser,All Facilities,Prostate Surgery,511,1435,5.6,26.1
2011/2012,Fraser,All Facilities,Rectal Surgery,193,392,7.6,29.3
2011/2012,Fraser,All Facilities,Scope of Chest,14,101,2,6.1
2011/2012,Fraser,All Facilities,Shoulder Surgery,522,616,12.5,34.1
2011/2012,Fraser,All Facilities,Sinus Surgery,430,723,17.6,41.2
2011/2012,Fraser,All Facilities,Skin Surgery,36,136,2.1,21.1
2011/2012,Fraser,All Facilities,Skin Tumour Removal,343,1125,3.3,18.6
2011/2012,Fraser,All Facilities,Sphincterotomy,30,46,5.1,21.9
2011/2012,Fraser,All Facilities,Spinal/Back Surgery,377,674,5.9,35
2011/2012,Fraser,All Facilities,Tendon Surgery,61,236,0.7,11.8
2011/2012,Fraser,All Facilities,Thyroidectomy,108,330,5.6,21.1
2011/2012,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,209,358,10.4,39.6
2011/2012,Fraser,All Facilities,Tympanoplasty,128,129,24,45.2
2011/2012,Fraser,All Facilities,Uterine Surgery,809,2561,5.4,25.6
2011/2012,Fraser,All Facilities,Vaginal Repair,205,344,10.9,41
2011/2012,Fraser,All Facilities,Varicose Veins Ligation/Stripping,247,303,4,27.7
2011/2012,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,34,91,4.4,18.4
2011/2012,Fraser,All Facilities,Vascular Surgery - Other,65,373,2.7,8.3
2011/2012,Fraser,All Facilities,Wound/Laceration Care,142,370,3.6,22.5
2011/2012,Fraser,Burnaby Hospital,All Other Procedures,266,526,6.6,22.9
2011/2012,Fraser,Burnaby Hospital,All Procedures,3935,6953,12.3,39
2011/2012,Fraser,Burnaby Hospital,Biopsy in OR,,6,3.1,5.9
2011/2012,Fraser,Burnaby Hospital,Bladder Surgery,36,204,4.9,21.5
2011/2012,Fraser,Burnaby Hospital,Bowel Resection,17,78,4.1,11.3
2011/2012,Fraser,Burnaby Hospital,Breast Biopsy,,68,3.1,8.3
2011/2012,Fraser,Burnaby Hospital,Breast Reconstruction,13,9,22.4,53.4
2011/2012,Fraser,Burnaby Hospital,Breast Reduction,34,30,40.6,61.6
2011/2012,Fraser,Burnaby Hospital,Cataract Surgery,1107,1973,22.9,43.8
2011/2012,Fraser,Burnaby Hospital,Cholecystectomy,74,178,7.9,24.1
2011/2012,Fraser,Burnaby Hospital,Colostomy/Ileostomy,,11,6,14.9
2011/2012,Fraser,Burnaby Hospital,D&C and Related Surgery,59,63,8,28.4
2011/2012,Fraser,Burnaby Hospital,Examination Under Anaesthetic,13,9,4.3,10.7
2011/2012,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,69,80,9.7,26
2011/2012,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,13,15,8.4,17.9
2011/2012,Fraser,Burnaby Hospital,Foot/Ankle Surgery,10,13,12,50.2
2011/2012,Fraser,Burnaby Hospital,Fracture Repair,5,9,0.1,1.7
2011/2012,Fraser,Burnaby Hospital,Hand/Wrist Surgery,73,97,19,52.2
2011/2012,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,175,296,9.5,29.3
2011/2012,Fraser,Burnaby Hospital,Hip Replacement,83,152,17.9,34.9
2011/2012,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,5,14,3.4,11.9
2011/2012,Fraser,Burnaby Hospital,Knee - ACL Repair,52,112,17.4,37.9
2011/2012,Fraser,Burnaby Hospital,Knee Arthroscopy,207,429,6,19.6
2011/2012,Fraser,Burnaby Hospital,Knee Replacement,165,235,22.9,37.7
2011/2012,Fraser,Burnaby Hospital,Laparoscopy,21,33,13.1,28.3
2011/2012,Fraser,Burnaby Hospital,Laparotomy,,8,5.8,20.3
2011/2012,Fraser,Burnaby Hospital,Laryngoscopy,9,15,5.3,29.1
2011/2012,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,59,141,9.7,40
2011/2012,Fraser,Burnaby Hospital,Ligament Surgery,,7,17.6,24.7
2011/2012,Fraser,Burnaby Hospital,Mastectomy,14,58,3,16.4
2011/2012,Fraser,Burnaby Hospital,Mastoidectomy,9,8,28.1,56
2011/2012,Fraser,Burnaby Hospital,Nasal Surgery,254,280,22.7,45.5
2011/2012,Fraser,Burnaby Hospital,Nerve Surgery,5,16,13.6,22.9
2011/2012,Fraser,Burnaby Hospital,Other Eye Surgery,98,120,15.6,29.8
2011/2012,Fraser,Burnaby Hospital,Other Joint Reconstruction,11,19,16.6,44.2
2011/2012,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,49,80,16.1,43.8
2011/2012,Fraser,Burnaby Hospital,Other Urology Surgery,40,130,4.4,18.1
2011/2012,Fraser,Burnaby Hospital,Parotidectomy,,12,4.9,10.9
2011/2012,Fraser,Burnaby Hospital,Prostate Surgery,162,397,5.9,27.3
2011/2012,Fraser,Burnaby Hospital,Rectal Surgery,23,29,12,29.1
2011/2012,Fraser,Burnaby Hospital,Shoulder Surgery,174,156,12.3,32.3
2011/2012,Fraser,Burnaby Hospital,Sinus Surgery,191,391,14.7,45
2011/2012,Fraser,Burnaby Hospital,Skin Surgery,,,25.7,45.5
2011/2012,Fraser,Burnaby Hospital,Skin Tumour Removal,41,62,12.1,38.5
2011/2012,Fraser,Burnaby Hospital,Sphincterotomy,,6,6.4,18
2011/2012,Fraser,Burnaby Hospital,Tendon Surgery,7,15,3.6,20.5
2011/2012,Fraser,Burnaby Hospital,Thyroidectomy,7,16,5.5,18.4
2011/2012,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,53,76,13.5,46.7
2011/2012,Fraser,Burnaby Hospital,Tympanoplasty,30,22,23.4,37.9
2011/2012,Fraser,Burnaby Hospital,Uterine Surgery,122,179,9.7,25.2
2011/2012,Fraser,Burnaby Hospital,Vaginal Repair,24,34,9.8,20.1
2011/2012,Fraser,Burnaby Hospital,Vascular Surgery - Other,5,10,3.1,14.2
2011/2012,Fraser,Burnaby Hospital,Wound/Laceration Care,21,19,15.1,31.2
2011/2012,Fraser,Chilliwack General Hospital,All Other Procedures,87,429,4.7,18.4
2011/2012,Fraser,Chilliwack General Hospital,All Procedures,1475,8021,6,22.7
2011/2012,Fraser,Chilliwack General Hospital,Biopsy in OR,,32,1.9,3.8
2011/2012,Fraser,Chilliwack General Hospital,Bladder Surgery,37,128,5,29.3
2011/2012,Fraser,Chilliwack General Hospital,Bowel Resection,10,74,2.6,6.5
2011/2012,Fraser,Chilliwack General Hospital,Breast Biopsy,16,85,2.7,5
